1335697545 0 0 4
1335698050 0 46 4
1335698776 0 46 838
1335699017 0 46 838
1335699096 21 46 838
1335699114 21 46 838
1335699308 29 46 838
1335699701 93 46 838
1335700053 100 46 838
1335700213 109 46 838
1335701910 145 46 838
1335702080 145 65 838
1335702135 145 65 838
1335702215 155 65 838
1335702892 177 65 838
1335703377 180 65 838
1335703651 183 65 838
1335704121 183 92 838
1335704267 193 92 838
1335704394 198 92 838
1335704535 199 92 838
1335704831 199 110 838
1335704969 199 116 838
1335705075 199 117 838
1335706007 199 125 838
1335706875 239 125 838
1335707035 239 147 838
1335707040 240 147 838
1335707050 240 147 838
1335709238 240 148 838
1335709476 248 148 838
1335709547 248 148 838
1335709667 250 148 838
