1335697545 0 0 1
1335698050 0 1 1
1335698776 0 1 2
1335699017 0 1 3
1335699096 1 1 3
1335699114 2 1 3
1335699308 3 1 3
1335699701 4 1 3
1335700053 5 1 3
1335700213 6 1 3
1335701910 7 1 3
1335702080 7 2 3
1335702135 7 3 3
1335702215 8 3 3
1335702892 9 3 3
1335703377 10 3 3
1335703651 11 3 3
1335704121 11 4 3
1335704267 12 4 3
1335704394 13 4 3
1335704535 14 4 3
1335704831 14 5 3
1335704969 14 6 3
1335705075 14 7 3
1335706007 14 8 3
1335706875 15 8 3
1335707035 15 9 3
1335707040 16 9 3
1335707050 17 9 3
1335709238 17 10 3
1335709476 18 10 3
1335709547 19 10 3
1335709667 20 10 3
